layer,type,shape,params,recommended_mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W8A8,8,8,3.82375e-06,0.0015114234,0.0178796309,0.999997938575,2910.9725,2733.5075,
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(320, 320)",102400,W8A8,8,8,4.297725e-06,0.001449288875,0.019295781875,0.9999971236,2910.9725,2750.5175,
up_blocks.0.resnets.0.conv_shortcut,Conv2d,"(1280, 2560, 1, 1)",3278080,W8A8,8,8,4.334325e-06,0.00124977255,0.025726370525,0.999997573775,2910.9725,2743.1475,
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8,4.5580749999999996e-06,0.00113274475,0.028969332575,0.99999752285,2910.9725,3207.7999999999997,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_q,Linear,"(320, 320)",102400,W8A8,8,8,4.6431000000000005e-06,0.00100986115,0.0227567535,0.9999975128,2910.9725,2716.53,
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8,4.741425e-06,0.001547649425,0.029392853375,0.999997318025,2910.9725,3554.7324999999996,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8,4.8211249999999995e-06,0.0013531989249999999,0.0246415585,0.999997351025,2910.9725,2718.215,
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,5.056925e-06,0.0017057848,0.019424870599999998,0.9999966512,2910.9725,2758.45,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(640, 640)",409600,W8A8,8,8,5.138875e-06,0.000858494825,0.0221594963,0.999997354975,2910.9725,2922.6125,
mid_block.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,5.780525e-06,0.001384619825,0.026896467875,0.999996761825,2910.9725,2790.1549999999997,
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,5.872625e-06,0.001583529175,0.038234442475000005,0.999996359675,2910.9725,2667.495,
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8,6.000725e-06,0.0019247830250000001,0.023945368825,0.999996502375,2910.9725,2769.4925,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8,6.5965e-06,0.001699474875,0.02672210335,0.999996280175,2910.9725,2702.28,
up_blocks.0.resnets.0.conv1,Conv2d,"(1280, 2560, 3, 3)",29492480,W8A8,8,8,6.723025e-06,0.00155862015,0.032487843175,0.9999961512,2910.9725,2803.585,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8,6.7733e-06,0.0012880228,0.026479784399999998,0.9999963483000001,2910.9725,2755.4025,
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,7.010050000000001e-06,0.002025572125,0.030251830825,0.99999578535,2910.9725,2755.8149999999996,
up_blocks.0.upsamplers.0.conv,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,7.017325e-06,0.001298050275,0.04354313015,0.9999961953000001,2910.9725,3687.9575000000004,
up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8,7.274825e-06,0.0020974871,0.015751739974999998,0.999995631575,2910.9725,2771.165,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8,7.3844e-06,0.0014329176,0.0320635289,0.999996071975,2910.9725,2758.55,
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8,7.5699e-06,0.001696569475,0.036656096575,0.99999557155,2910.9725,3505.4125,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,7.64615e-06,0.001062991775,0.029523421075,0.9999960809,2910.9725,2761.45,
down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(320, 768)",245760,W8A8,8,8,7.69205e-06,0.001232990525,0.024398863325000002,0.9999959817,2910.9725,2737.3,
up_blocks.2.attentions.1.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,7.95935e-06,0.002032681475,0.024167831075,0.9999951586,2910.9725,2699.6025,
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,8.321075e-06,0.001836592575,0.035298213349999996,0.999995067875,2910.9725,2727.88,
up_blocks.1.attentions.1.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,8.516475e-06,0.001852027275,0.03872323315,0.999994840825,2910.9725,2755.205,
up_blocks.2.resnets.2.conv_shortcut,Conv2d,"(640, 960, 1, 1)",615040,W8A8,8,8,8.60855e-06,0.002192558075,0.024839714149999997,0.9999946122250001,2910.9725,2757.2675,
down_blocks.1.attentions.0.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,8.985425e-06,0.001649491275,0.0469372198,0.999994946675,2910.9725,2710.74,
up_blocks.1.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,9.170225e-06,0.001891863225,0.04274226725,0.999994795525,2910.9725,2750.3625,
down_blocks.0.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8,1.0094975e-05,0.00199333375,0.042735235775,0.999993903,2910.9725,2739.5025,
down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W8A8,8,8,1.0257075e-05,0.002123820175,0.038140775625,0.9999938816,2910.9725,2756.08,
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8,1.0478e-05,0.00260028995,0.016990691425,0.99999440735,2910.9725,2801.5325000000003,
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W8A8,8,8,1.0690025000000001e-05,0.00201283095,0.01990449055,0.999993836725,2910.9725,2727.265,
mid_block.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.13321e-05,0.001593424375,0.040586791925,0.99999413605,2910.9725,2845.255,
up_blocks.0.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.1548e-05,0.00181062665,0.034198457375,0.999994022075,2910.9725,2765.7325,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8,1.1612775e-05,0.001334972825,0.028592208425,0.999994004975,2910.9725,2781.8225,
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,1.198575e-05,0.002212997775,0.05114883185,0.999992902225,2910.9725,4080.34,
up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8,1.229495e-05,0.002784023325,0.019977614275,0.999992463775,2910.9725,2755.8450000000003,
down_blocks.0.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,1.3624575e-05,0.00229145745,0.0417255247,0.999992571775,2910.9725,2734.7625,
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8,1.41711e-05,0.0025653070750000003,0.040602803225,0.99999104605,2910.9725,2787.08,
down_blocks.0.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,1.433345e-05,0.002499036325,0.04839811195,0.9999909954,2910.9725,2716.24,
up_blocks.0.resnets.2.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.4521e-05,0.0019739126999999998,0.059384696175,0.99999226035,2910.9725,3653.7200000000003,
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,1.45216e-05,0.0025982439,0.06125755235,0.99999172715,2910.9725,2717.7475,
up_blocks.2.resnets.2.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,1.471305e-05,0.0027254743,0.051187925025,0.999990916125,2910.9725,2755.93,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,1.4890025e-05,0.001940015275,0.054683201024999996,0.9999916182499999,2910.9725,2727.515,
down_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W8A8,8,8,1.5031099999999999e-05,0.002404615725,0.043715741475,0.99999135665,2910.9725,2733.42,
up_blocks.1.upsamplers.0.conv,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.5140950000000001e-05,0.002591751225,0.049644868800000005,0.999990653775,2910.9725,3532.0950000000003,
mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A8,8,8,1.5141725e-05,0.002250455225,0.057301417,0.9999915666,2910.9725,2831.36,
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,1.5180375e-05,0.00282652255,0.035415055225,0.999990593625,2910.9725,2730.9300000000003,
up_blocks.3.attentions.0.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,1.5234849999999999e-05,0.003035896925,0.026831399675,0.99999049925,2910.9725,2821.38,
up_blocks.1.resnets.1.conv1,Conv2d,"(1280, 2560, 3, 3)",29492480,W8A8,8,8,1.5916250000000002e-05,0.002429601275,0.048949731525,0.999990903475,2910.9725,3527.9425,
up_blocks.2.attentions.2.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,1.599955e-05,0.0029892282999999997,0.031576952875,0.99998966115,2910.9725,2736.7925,
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,1.6042925e-05,0.002935095525,0.050708852725,0.999990325325,2910.9725,2755.9275,
up_blocks.2.upsamplers.0.conv,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,1.60665e-05,0.0030133321999999997,0.03298073265,0.9999901637999999,2910.9725,2802.2650000000003,
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W8A8,8,8,1.6381575e-05,0.0026372696,0.051723133775,0.9999899357250001,2910.9725,2698.3450000000003,
up_blocks.1.resnets.2.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.648625e-05,0.0023704333500000003,0.06551672145000001,0.9999904594,2910.9725,3458.435,
up_blocks.0.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.7045525e-05,0.002168735575,0.045713450775,0.9999908781,2910.9725,2782.2575,
up_blocks.2.resnets.0.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,1.715405e-05,0.00261127035,0.054453434450000004,0.9999899825,2910.9725,2727.1775,
down_blocks.1.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W8A8,8,8,1.795335e-05,0.001872502575,0.047317495575,0.99999057465,2910.9725,2742.6800000000003,
mid_block.resnets.0.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.7954149999999998e-05,0.001835580925,0.044347006825,0.999990739975,2910.9725,2848.9625,
up_blocks.3.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8,1.820945e-05,0.003317193725,0.033442609025,0.99998865055,2910.9725,2890.1099999999997,
up_blocks.3.resnets.0.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8,1.83038e-05,0.003252814075,0.03552492335,0.99998839775,2910.9725,2803.825,
up_blocks.0.resnets.2.conv1,Conv2d,"(1280, 2560, 3, 3)",29492480,W8A8,8,8,1.8452575e-05,0.002434741525,0.0505828317,0.99998972335,2910.9725,2821.0975,
down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,1.9045175e-05,0.003255757075,0.033083997675,0.9999875987,2910.9725,2729.3825,
up_blocks.2.attentions.0.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,1.9329550000000002e-05,0.002793802075,0.067327387625,0.999988037625,2910.9725,3049.3875,
up_blocks.1.resnets.2.conv_shortcut,Conv2d,"(1280, 1920, 1, 1)",2458880,W8A8,8,8,1.9520475000000002e-05,0.002519543775,0.066266398875,0.9999891251749999,2910.9725,3528.9425,
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,1.9574175e-05,0.0034902704,0.02086057515,0.99998862715,2910.9725,2781.0975,
down_blocks.3.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,1.970665e-05,0.00207481105,0.0400147289,0.999989588125,2910.9725,2760.7475,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(640, 768)",491520,W8A8,8,8,2.0284874999999998e-05,0.0024272386,0.051414420825,0.9999887670000001,2910.9725,2752.4175,
down_blocks.0.resnets.1.conv1,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8,2.1108300000000003e-05,0.002855786975,0.06031027995,0.999987412425,2910.9725,2744.7725,
down_blocks.1.resnets.1.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,2.12957e-05,0.002505339025,0.070725742725,0.99998811925,2910.9725,2757.6625,
up_blocks.2.resnets.2.conv1,Conv2d,"(640, 960, 3, 3)",5530240,W8A8,8,8,2.1490025e-05,0.003249480425,0.05262395365,0.999986530875,2910.9725,2761.1075,
up_blocks.1.resnets.1.conv_shortcut,Conv2d,"(1280, 2560, 1, 1)",3278080,W8A8,8,8,2.1916774999999998e-05,0.0029629297000000002,0.0532230958,0.999987444525,2910.9725,3476.0975,
up_blocks.3.resnets.1.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W8A8,8,8,2.2055575e-05,0.0035859153,0.042466239074999995,0.999986133925,2910.9725,2791.77,
up_blocks.0.resnets.1.conv1,Conv2d,"(1280, 2560, 3, 3)",29492480,W8A8,8,8,2.25254e-05,0.002227889075,0.04730505125,0.999988253675,2910.9725,2805.74,
time_embedding.linear_2,Linear,"(1280, 1280)",1639680,W8A8,8,8,2.277505e-05,0.003467798425,0.048426084225,0.9999866945,2910.9725,2689.98,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(640, 640)",409600,W8A8,8,8,2.280325e-05,0.0018677297499999999,0.047367073600000004,0.999988248475,2910.9725,2737.085,
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8,2.341545e-05,0.002620542975,0.055729366824999994,0.999985598,2910.9725,3489.885,
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8,2.40198e-05,0.003827659125,0.0342558408,0.99998532875,2910.9725,2743.2675,
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,2.41508e-05,0.00230103245,0.055018686675,0.9999872066,2910.9725,2698.58,
up_blocks.2.resnets.1.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,2.447e-05,0.003249344525,0.053227743125000004,0.999984464575,2910.9725,2736.8725,
down_blocks.0.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,2.5291374999999998e-05,0.0032537491,0.057578731325,0.9999852407750001,2910.9725,2748.59,
up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v,Linear,"(320, 768)",245760,W8A8,8,8,2.5409800000000002e-05,0.004119472075,0.02521958945,0.9999842889,2910.9725,2789.7200000000003,
up_blocks.1.resnets.1.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,2.55268e-05,0.0030743918000000004,0.062018964450000005,0.999985972225,2910.9725,3491.3374999999996,
down_blocks.1.attentions.0.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,2.5614125e-05,0.003138429875,0.07009592,0.99998495575,2910.9725,2732.2125,
down_blocks.1.resnets.0.conv2,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,2.6116225e-05,0.0028752078,0.075245969,0.999985061775,2910.9725,2736.4300000000003,
down_blocks.0.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8,2.7059925e-05,0.002416159725,0.054135411975,0.999985564075,2910.9725,2734.35,
up_blocks.2.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W8A8,8,8,2.71114e-05,0.003388818025,0.070603866125,0.999984229225,2910.9725,2744.0975,
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8,2.7586125000000002e-05,0.003569199175,0.06697509997500001,0.999983703975,2910.9725,2715.01,
mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8,2.8016525e-05,0.003035466225,0.05844813865,0.999984839575,2910.9725,2804.0725,
up_blocks.2.attentions.1.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,2.8045475e-05,0.00362199165,0.06362204625,0.9999832100749999,2910.9725,2707.245,
up_blocks.1.attentions.2.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,2.8221175e-05,0.003316567525,0.070442538725,0.9999827294,2910.9725,3511.6099999999997,
down_blocks.0.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,2.8459975e-05,0.002861605,0.079883903275,0.999984367475,2910.9725,2700.6275,
down_blocks.2.resnets.1.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,2.987295e-05,0.00191341655,0.057509727775,0.99998473575,2910.9725,2751.445,
mid_block.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,3.1169125e-05,0.003135581025,0.08172331005,0.9999814792,2910.9725,2784.39,
down_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,3.1673575e-05,0.003149753425,0.06028382575,0.999982435525,2910.9725,2765.5950000000003,
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_out.0,Linear,"(640, 640)",410240,W8A8,8,8,3.2587025e-05,0.004082264775,0.063955400125,0.9999814438500001,2910.9725,2735.1600000000003,
down_blocks.3.resnets.1.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,3.2915e-05,0.0022819396,0.061348699025,0.999983180125,2910.9725,2800.41,
up_blocks.2.attentions.0.proj_out,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,3.4255825e-05,0.003416646175,0.0638661012,0.99997887565,2910.9725,2707.2075,
up_blocks.3.attentions.2.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,3.5649325e-05,0.0047391029,0.0234146379,0.9999778421250001,2910.9725,2786.29,
up_blocks.3.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8,3.565865e-05,0.0045558866,0.045085109750000005,0.99997744235,2910.9725,2787.275,
up_blocks.2.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,"(5120, 640)",3281920,W8A8,8,8,3.6187525e-05,0.0042541505499999995,0.0821467042,0.999978398475,2910.9725,2752.605,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8,3.6371124999999996e-05,0.00236163385,0.0675195083,0.9999812594,2910.9725,2758.3475,
up_blocks.3.attentions.2.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,3.6919175e-05,0.004829978,0.035527199499999995,0.999978862625,2910.9725,2797.0725,
up_blocks.3.attentions.1.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,3.74422e-05,0.0048518686,0.0350457034,0.9999767526000001,2910.9725,2794.7775,
up_blocks.1.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,3.9105075e-05,0.003491566625,0.09473655747500001,0.99997820645,2910.9725,3513.0625,
up_blocks.3.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8,3.9259475e-05,0.004709717025,0.0497624278,0.999975589275,2910.9725,2765.44,
up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A8,8,8,3.9397825e-05,0.003438501675,0.10630159827499999,0.999976978225,2910.9725,2762.17,
up_blocks.3.resnets.2.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W8A8,8,8,4.1689225e-05,0.005085125,0.039251789475,0.999973871325,2910.9725,2848.1175000000003,
up_blocks.3.attentions.0.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,4.1993e-05,0.004875170999999999,0.058361210875,0.999973592475,2910.9725,2749.1575,
up_blocks.1.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8,4.3404999999999995e-05,0.003953317475,0.072145542125,0.999975927425,2910.9725,3487.605,
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8,4.38984e-05,0.0038254492499999997,0.08034632355,0.999975395775,2910.9725,3475.9075,
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A8,8,8,4.430325e-05,0.004061242875,0.113322984425,0.99997386455,2910.9725,3531.36,
up_blocks.3.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,4.4851799999999996e-05,0.0051358511,0.044522911325,0.999971781225,2910.9725,2764.5225,
up_blocks.1.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,4.6241075000000005e-05,0.00409037175,0.090229625825,0.99997404905,2910.9725,3232.3575,
up_blocks.3.resnets.2.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8,4.7611499999999996e-05,0.005422373175,0.044805362825,0.99997114675,2910.9725,2816.7650000000003,
up_blocks.1.resnets.0.conv1,Conv2d,"(1280, 2560, 3, 3)",29492480,W8A8,8,8,4.7739100000000005e-05,0.0038556814,0.09523800575,0.99997399845,2910.9725,3646.8375,
up_blocks.3.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8,4.787875e-05,0.00539820865,0.046575948575,0.999970336925,2910.9725,2781.245,
down_blocks.2.resnets.1.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,4.7989100000000004e-05,0.003507183275,0.08315631,0.999975014125,2910.9725,2776.5225,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8,4.885385e-05,0.003562189025,0.101458996525,0.9999737219,2910.9725,2761.8475,
mid_block.resnets.1.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,5.22786e-05,0.003031363975,0.07310536502500001,0.999972877825,2910.9725,2829.9525000000003,
up_blocks.2.attentions.2.proj_in,Conv2d,"(640, 640, 1, 1)",410240,W8A8,8,8,5.24178e-05,0.00520435975,0.0744966827,0.9999677625250001,2910.9725,2728.61,
up_blocks.2.resnets.0.conv1,Conv2d,"(640, 1920, 3, 3)",11059840,W8A8,8,8,5.31047e-05,0.00400976445,0.1269144844,0.999968815875,2910.9725,2785.8025,
mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8,5.687432500000001e-05,0.0035270278,0.08502364345,0.999969738975,2910.9725,2785.335,
up_blocks.3.attentions.1.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8,5.707285e-05,0.005900847475,0.0627413988,0.999964344225,2910.9725,2777.2174999999997,
up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8,5.764915e-05,0.0060609062,0.034320604025,0.999963525825,2910.9725,2806.4125,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8,6.00686e-05,0.00287327705,0.077741716075,0.99996926815,2910.9725,2768.0825,
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W8A8,8,8,6.6290925e-05,0.0064620344,0.054132223125000004,0.99995945845,2910.9725,2722.7225,
up_blocks.1.attentions.1.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,6.881205000000001e-05,0.0045737971,0.128076970575,0.9999598278,2910.9725,2753.7,
up_blocks.3.attentions.1.proj_in,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8,6.8949625e-05,0.0064179967,0.082185387625,0.99995531215,2910.9725,2802.2025,
up_blocks.3.resnets.1.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W8A8,8,8,6.9063375e-05,0.0065448450499999995,0.059595912675,0.999957582525,2910.9725,2882.1625,
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W8A8,8,8,7.0803625e-05,0.0070927773749999996,0.0376073718,0.99995677865,2910.9725,2735.3925,
down_blocks.1.resnets.0.conv1,Conv2d,"(640, 320, 3, 3)",1843840,W8A8,8,8,7.34825e-05,0.0037057145,0.095764301725,0.9999618439,2910.9725,2732.1875,
up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A8,8,8,7.3835625e-05,0.003783475275,0.1262729913,0.999961488675,2910.9725,3461.875,
down_blocks.1.resnets.1.conv1,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,7.38431e-05,0.00396316395,0.09671190195,0.9999612394,2910.9725,2722.56,
up_blocks.3.resnets.0.conv1,Conv2d,"(320, 960, 3, 3)",2765120,W8A8,8,8,7.4563325e-05,0.006333177325,0.070599330575,0.9999535724499999,2910.9725,2809.525,
mid_block.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8,7.6620875e-05,0.002960795925,0.09295471385000001,0.9999607493,2910.9725,2802.1975,
up_blocks.2.attentions.2.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W8A8,8,8,8.2091275e-05,0.006630838125,0.08021665735,0.9999503,2910.9725,2774.9425,
up_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W8A8,8,8,8.52141e-05,0.005898297775,0.0925821522,0.999943393775,2910.9725,2696.99,
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8,9.096625e-05,0.0041068176,0.1623294428,0.999951549725,2910.9725,2747.06,
up_blocks.3.resnets.0.conv_shortcut,Conv2d,"(320, 960, 1, 1)",307520,W8A8,8,8,9.3155025e-05,0.007381319525,0.071125343425,0.999944568625,2910.9725,2786.52,
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W8A8,8,8,0.000104116975,0.007227771225,0.095641134325,0.999937253825,2910.9725,3187.625,
