layer,type,shape,params,recommended_mode,w_bits,a_bits,mse,mae,max_abs,cos,baseline_ms,layer_ms,peak_mem_MB
down_blocks.0.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8,0.000369681875,0.007328996725,0.19488849490000001,0.99980845685,2910.9725,2722.9475,
down_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8,0.0003725273,0.0094363204,0.2303367611,0.99980693865,2910.9725,2772.61,
down_blocks.2.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A8,8,8,0.00038398465,0.00989421095,0.258153587575,0.999797131825,2910.9725,2763.7574999999997,
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8,0.00039422605000000003,0.007996633925,0.21885410509999997,0.999798733725,2910.9725,2749.7,
up_blocks.2.resnets.0.conv_shortcut,Conv2d,"(640, 1920, 1, 1)",1229440,W8A8,8,8,0.000396129825,0.0121844199,0.2930018157,0.999768131125,2910.9725,2733.5249999999996,
mid_block.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8,0.0004154755,0.01106812855,0.2490531132,0.9997762987250001,2910.9725,2810.225,
down_blocks.2.attentions.1.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,0.0004370175,0.0086929923,0.2715078071,0.999771161025,2910.9725,2756.9049999999997,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8,0.000464349,0.010613759275,0.29753151535,0.99976062155,2910.9725,2761.2975,
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8,0.00055088005,0.016368221500000002,0.221944756775,0.99967662945,2910.9725,2723.15,
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8,0.00055408615,0.016434740475,0.3109043278,0.9996841766,2910.9725,3588.625,
up_blocks.1.resnets.2.conv1,Conv2d,"(1280, 1920, 3, 3)",22119680,W8A8,8,8,0.00063554955,0.015597370000000001,0.368600875175,0.99964299955,2910.9725,3588.2125,
up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A8,8,8,0.000657338525,0.01731696445,0.22729390859999998,0.999540520975,2910.9725,2754.525,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8,0.0006739596999999999,0.01660780145,0.279083915025,0.9995620636,2910.9725,2762.1775,
up_blocks.2.resnets.1.conv1,Conv2d,"(640, 1280, 3, 3)",7373440,W8A8,8,8,0.0009025646250000001,0.0163631517,0.236140429975,0.9994462212499999,2910.9725,2742.6775,
up_blocks.1.attentions.2.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A8,8,8,0.0009287585749999999,0.018853158449999997,0.31655588745,0.999308706,2910.9725,3477.9325,
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,Linear,"(640, 768)",491520,W8A8,8,8,0.0009555697,0.01299958735,0.28558169305,0.99950269705,2910.9725,2752.4725,
conv_in,Conv2d,"(320, 4, 3, 3)",11840,W8A8,8,8,0.0010267917250000001,0.015787623375,0.3304988444,0.99946186495,2910.9725,2722.4875,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8,0.0015628398249999999,0.02107603545,0.47065761685,0.999191663525,2910.9725,2768.91,
down_blocks.2.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8,0.00175287145,0.015605489725,0.456202507,0.999097688425,2910.9725,2770.7325,
down_blocks.2.resnets.0.conv1,Conv2d,"(1280, 640, 3, 3)",7374080,W8A8,8,8,0.001852244975,0.01429313065,0.37759548425,0.999051012875,2910.9725,2789.64,
conv_out,Conv2d,"(4, 320, 3, 3)",11524,W8A8,8,8,0.00208243965,0.035700082775,0.184784978625,0.998772091,2910.9725,2845.9575,
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8,0.0025174845500000004,0.0173365697,0.3987308815,0.998709449925,2910.9725,2765.96,
down_blocks.2.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8,0.003434238575,0.016684916525,0.423958733675,0.9982412525,2910.9725,2774.815,
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8,0.00500428185,0.021414457350000003,0.644164651625,0.997434538775,2910.9725,2771.24,
down_blocks.0.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8,0.00687851835,0.041207728425,1.15143672375,0.996422953,2910.9725,2724.8825,
down_blocks.2.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A8,8,8,0.0081090473,0.05174021425,1.38629134,0.9956373511500001,2910.9725,2774.09,
down_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,Linear,"(640, 2560)",1639040,W8A8,8,8,0.01171222145,0.0527455178,2.1779806465,0.9935189283,2910.9725,2746.0025,
down_blocks.1.downsamplers.0.conv,Conv2d,"(640, 640, 3, 3)",3687040,W8A8,8,8,0.035968182875,0.078161895275,1.234800156225,0.981408591825,2910.9725,2730.8199999999997,
