sample_prompt,seed,layer,type,shape,params,mode,w_bits,a_bits,baseline_ms,layer_ms,peak_mem_MB,mse,mae,max_abs,cos
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,3160.62,2806.69,,0.0012559757,0.0255004633,0.6811861992,0.9995866119
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,3160.62,2825.47,,0.0012988896,0.0260987394,0.6791744232,0.9995735611
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A16,8,,3160.62,2841.52,,1.15087e-05,0.0027195432,0.0198337883,0.9999941416
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W8A8,8,8.0,3160.62,2830.14,,5.8079e-05,0.0060932953,0.0362487435,0.9999703811
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A16,4,,3160.62,2825.71,,0.0070922417,0.0668683797,0.4939489365,0.9965486342
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.0.proj,Linear,"(2560, 320)",821760,W4A8,4,8.0,3160.62,2823.57,,0.0071349838,0.067073971,0.4935302734,0.9965293028
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A16,8,,3160.62,2829.58,,6.1417e-06,0.0020253789,0.0202965736,0.9999977592
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W8A8,8,8.0,3160.62,2904.65,,0.0001435287,0.0095634609,0.0481894612,0.9999288845
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A16,4,,3160.62,2775.79,,0.0018453922,0.0363187715,0.257900238,0.9990597733
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.transformer_blocks.0.ff.net.2,Linear,"(320, 1280)",409920,W4A8,4,8.0,3160.62,2842.88,,0.0019978504,0.0372298993,0.2643566132,0.9989810124
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A16,8,,3160.62,2832.58,,1.9751e-06,0.0011156099,0.0081009865,0.9999989996
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W8A8,8,8.0,3160.62,2843.95,,3.69015e-05,0.0048565674,0.0230502486,0.9999811811
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A16,4,,3160.62,2800.89,,0.0004783919,0.0171309989,0.1334946156,0.9997706586
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.attentions.2.proj_out,Conv2d,"(320, 320, 1, 1)",102720,W4A8,4,8.0,3160.62,2794.97,,0.0005171472,0.0178680271,0.1412191391,0.999751845
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv1,Conv2d,"(320, 960, 3, 3)",2765120,W8A16,8,,3160.62,2822.06,,8.1966e-06,0.0020658078,0.0392508507,0.9999958281
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv1,Conv2d,"(320, 960, 3, 3)",2765120,W8A8,8,8.0,3160.62,2820.04,,3.77486e-05,0.004636032,0.0446929932,0.9999807543
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv1,Conv2d,"(320, 960, 3, 3)",2765120,W4A16,4,,3160.62,2809.01,,0.0018050852,0.0318926238,0.4444189072,0.9991136332
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv1,Conv2d,"(320, 960, 3, 3)",2765120,W4A8,4,8.0,3160.62,2803.8,,0.001841469,0.0322041735,0.4311389923,0.9990945996
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W8A16,8,,3160.62,2838.08,,1.81e-08,0.0001055721,0.001036644,0.9999999912
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8.0,3160.62,2803.41,,8.88e-08,0.0002328405,0.0024757385,0.9999999554
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W4A16,4,,3160.62,2806.29,,5.9267e-06,0.0019038731,0.019641757,0.9999971013
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.time_emb_proj,Linear,"(320, 1280)",409920,W4A8,4,8.0,3160.62,2790.26,,5.7133e-06,0.0018553936,0.0196485519,0.9999971867
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A16,8,,3160.62,2832.64,,3.3695e-06,0.0014428335,0.01541996,0.999998423
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,3160.62,2875.42,,1.61027e-05,0.0030969004,0.0339907408,0.9999919129
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A16,4,,3160.62,2903.17,,0.0015408694,0.03042835,0.2731137276,0.9992349677
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,3160.62,2865.09,,0.001560297,0.0306513049,0.2627491951,0.9992247128
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv_shortcut,Conv2d,"(320, 960, 1, 1)",307520,W8A16,8,,3160.62,2821.56,,1.60994e-05,0.003065245,0.0230388045,0.9999919083
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv_shortcut,Conv2d,"(320, 960, 1, 1)",307520,W8A8,8,8.0,3160.62,2840.73,,9.27376e-05,0.0074717281,0.0888662338,0.9999529834
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv_shortcut,Conv2d,"(320, 960, 1, 1)",307520,W4A16,4,,3160.62,2868.36,,0.0038391997,0.0474019013,0.5876984596,0.9980876425
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.0.conv_shortcut,Conv2d,"(320, 960, 1, 1)",307520,W4A8,4,8.0,3160.62,2906.38,,0.0039173844,0.0477679744,0.6108732224,0.998045844
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W8A16,8,,3160.62,2880.94,,4.5345e-06,0.0015622857,0.0445475578,0.9999976894
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W8A8,8,8.0,3160.62,2864.15,,1.80156e-05,0.0032227838,0.0433769226,0.9999908236
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W4A16,4,,3160.62,2849.92,,0.0016190936,0.0326502472,0.2878398895,0.9992170916
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W4A8,4,8.0,3160.62,2830.66,,0.0016306158,0.0327589735,0.2633485794,0.9992108269
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W8A16,8,,3160.62,2830.45,,1.577e-07,0.0002974008,0.0055208206,0.99999992
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8.0,3160.62,2831.5,,3.348e-07,0.0004558975,0.0049080849,0.9999998429
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W4A16,4,,3160.62,2864.46,,9.17996e-05,0.007645309,0.0962820053,0.9999658177
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.time_emb_proj,Linear,"(320, 1280)",409920,W4A8,4,8.0,3160.62,2873.35,,9.03687e-05,0.0075922506,0.0929527283,0.9999657364
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A16,8,,3160.62,2834.24,,2.573e-06,0.0012523497,0.0167622566,0.9999986983
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,3160.62,2841.37,,1.75599e-05,0.0032441486,0.0423462391,0.9999910972
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A16,4,,3160.62,2841.89,,0.0014603575,0.0305752102,0.341407299,0.9993147279
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,3160.62,2828.59,,0.0014851087,0.0308382362,0.3407053947,0.9993045242
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W8A16,8,,3160.62,2856.27,,1.76404e-05,0.0033996508,0.0340795517,0.9999910091
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W8A8,8,8.0,3160.62,2840.37,,6.13577e-05,0.0062068589,0.043192625,0.99996874
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W4A16,4,,3160.62,2834.01,,0.0067461692,0.0520058572,2.1917858124,0.9970768312
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.1.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W4A8,4,8.0,3160.62,2891.34,,0.0068198573,0.0523873791,2.207461834,0.9970467766
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W8A16,8,,3160.62,2919.75,,8.8585e-06,0.0023240768,0.0249319077,0.9999955111
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W8A8,8,8.0,3160.62,2875.65,,3.43903e-05,0.0046142503,0.0383758545,0.9999824959
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W4A16,4,,3160.62,2861.69,,0.0015195536,0.0307948589,0.37413311,0.9992251114
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv1,Conv2d,"(320, 640, 3, 3)",1843520,W4A8,4,8.0,3160.62,2895.73,,0.0015534896,0.0310750622,0.388736248,0.9992077899
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.time_emb_proj,Linear,"(320, 1280)",409920,W8A16,8,,3160.62,2878.25,,6.656e-07,0.0006358723,0.004219532,0.9999996606
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.time_emb_proj,Linear,"(320, 1280)",409920,W8A8,8,8.0,3160.62,2859.39,,4.2133e-06,0.0016227765,0.007146351,0.9999978517
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.time_emb_proj,Linear,"(320, 1280)",409920,W4A16,4,,3160.62,2855.21,,0.0003951442,0.0171087533,0.1348733902,0.9998073544
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.time_emb_proj,Linear,"(320, 1280)",409920,W4A8,4,8.0,3160.62,2870.02,,0.0004195659,0.017691385,0.1369256973,0.9997948138
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A16,8,,3160.62,2872.0,,5.1173e-06,0.0017730612,0.0312728882,0.9999979358
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv2,Conv2d,"(320, 320, 3, 3)",921920,W8A8,8,8.0,3160.62,2842.01,,5.37189e-05,0.005816014,0.0520386696,0.9999732367
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A16,4,,3160.62,2849.22,,0.0024556878,0.0388331488,0.2621250153,0.9987474196
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv2,Conv2d,"(320, 320, 3, 3)",921920,W4A8,4,8.0,3160.62,2851.93,,0.0025104147,0.0392769277,0.2761516571,0.9987195207
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W8A16,8,,3160.62,2865.07,,1.12797e-05,0.0025921613,0.0303115845,0.9999946015
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W8A8,8,8.0,3160.62,2826.2,,0.0001525213,0.0097499872,0.1252417564,0.9999222932
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W4A16,4,,3160.62,2853.81,,0.0060088784,0.0641639829,0.5902342796,0.996940436
a crisp portrait of a golden retriever in studio lighting,123,up_blocks.3.resnets.2.conv_shortcut,Conv2d,"(320, 640, 1, 1)",205120,W4A8,4,8.0,3160.62,2883.74,,0.0061265659,0.0645556152,0.6596899033,0.996878108
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A16,8,,3160.62,2859.43,,2.973e-06,0.0009405393,0.0293762684,0.9999985013
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,3160.62,2848.07,,1.25228e-05,0.0021548844,0.0548167229,0.9999936256
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A16,4,,3160.62,2818.06,,0.0011323226,0.0189061556,0.7788095474,0.9994234739
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_in,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,3160.62,2832.24,,0.0006319723,0.0150996475,0.5858006477,0.9996784365
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A16,8,,3160.62,2838.69,,1.061e-07,0.0001794778,0.0046384633,0.9999999462
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,3160.62,2861.95,,2.0999e-06,0.0008498552,0.0145373344,0.9999989291
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W4A16,4,,3160.62,2875.35,,0.000690745,0.0143110454,0.4092613161,0.9996512549
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,3160.62,2834.37,,0.0006775616,0.0142614841,0.3974643648,0.9996577111
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A16,8,,3160.62,2913.53,,1.495e-07,0.0002172064,0.0069050789,0.9999999247
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,3160.62,2933.03,,4.297e-07,0.0003147059,0.0149331093,0.9999997826
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W4A16,4,,3160.62,2815.18,,0.0001574926,0.0064730984,0.2081013918,0.9999197916
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_k,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,3160.62,2824.16,,0.0001370083,0.0060483711,0.1916582882,0.9999302221
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A16,8,,3160.62,2824.74,,3.2758e-06,0.00081541,0.0369725227,0.9999983419
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,3160.62,2828.18,,3.7388e-06,0.0010977237,0.0277781487,0.9999981044
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W4A16,4,,3160.62,2863.47,,0.0013970286,0.0212859474,0.5114014149,0.9992916745
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,3160.62,2795.35,,0.0014444574,0.0214485005,0.5279746652,0.9992675634
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A16,8,,3160.62,2815.1,,9.99261e-05,0.0048758029,0.1944832802,0.9999490418
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,3160.62,2808.19,,0.000190959,0.0076576136,0.2152242661,0.9999031206
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W4A16,4,,3160.62,2818.95,,0.0172237009,0.0677120835,1.8018299341,0.9911804285
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,3160.62,2800.83,,0.0225969944,0.0744311959,2.2471587658,0.9884104174
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A16,8,,3160.62,2830.43,,5.8198e-06,0.0012139396,0.0424957275,0.9999970541
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W8A8,8,8.0,3160.62,2810.77,,6.9998e-06,0.0014075234,0.0394212008,0.9999964954
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W4A16,4,,3160.62,2855.35,,0.001038539,0.01623841,0.524721384,0.9994705357
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(1280, 1280)",1638400,W4A8,4,8.0,3160.62,2806.92,,0.0010799525,0.0163062252,0.5416224003,0.9994496017
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A16,8,,3160.62,2795.68,,3.47593e-05,0.0034841765,0.0685964823,0.999982322
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W8A8,8,8.0,3160.62,2792.63,,3.25872e-05,0.0031907533,0.0864822865,0.9999836196
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W4A16,4,,3160.62,2822.46,,0.106163688,0.1902371347,2.9267902374,0.9452813761
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_k,Linear,"(1280, 768)",983040,W4A8,4,8.0,3160.62,3020.32,,0.110809356,0.1962614208,2.9693379402,0.9428609102
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A16,8,,3160.62,2959.0,,2.19902e-05,0.0021687066,0.1037731171,0.999988786
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W8A8,8,8.0,3160.62,2895.92,,0.0006557652,0.0131619368,0.3620910943,0.9996655261
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W4A16,4,,3160.62,2957.61,,0.002901037,0.0292499848,1.0147317648,0.99851947
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_v,Linear,"(1280, 768)",983040,W4A8,4,8.0,3160.62,2942.95,,0.0061076488,0.042227786,1.2877306938,0.996881979
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W8A16,8,,3160.62,2962.18,,0.0001782556,0.0081914179,0.1578599215,0.999909207
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,3160.62,2931.14,,0.0002744015,0.0099684894,0.1954522133,0.999860314
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W4A16,4,,3160.62,2895.81,,0.1493915021,0.262950182,4.1271128654,0.9224111188
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.attn2.to_out.0,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,3160.62,2931.02,,0.1495879292,0.2637699544,4.1414403915,0.9222988387
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A16,8,,3160.62,2935.57,,5.11075e-05,0.0036463179,0.1036912203,0.9999739365
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W8A8,8,8.0,3160.62,2943.47,,1.75448e-05,0.0022939788,0.0812072754,0.9999913138
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W4A16,4,,3160.62,2900.89,,0.0183484238,0.0617723688,4.02216959,0.9907664871
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.0.proj,Linear,"(10240, 1280)",13117440,W4A8,4,8.0,3160.62,2905.26,,0.0190681275,0.0635827035,4.1194939613,0.9904028148
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A16,8,,3160.62,2876.76,,1.14847e-05,0.0019688481,0.0532064438,0.9999941779
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W8A8,8,8.0,3160.62,2852.33,,0.0002826832,0.0096447933,0.286182344,0.9998559144
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W4A16,4,,3160.62,2867.75,,0.0076777795,0.0399496034,2.4181170464,0.9961060724
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.transformer_blocks.0.ff.net.2,Linear,"(1280, 5120)",6554880,W4A8,4,8.0,3160.62,2870.06,,0.0087167881,0.0418426543,2.6957631111,0.9955807508
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A16,8,,3160.62,2836.38,,3.4547e-06,0.0011054078,0.0305066109,0.9999982404
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W8A8,8,8.0,3160.62,2852.93,,1.02865e-05,0.0017536463,0.0457155108,0.9999947572
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A16,4,,3160.62,2849.17,,0.0028481144,0.0279267896,1.005010128,0.9985590791
a crisp portrait of a golden retriever in studio lighting,123,mid_block.attentions.0.proj_out,Conv2d,"(1280, 1280, 1, 1)",1639680,W4A8,4,8.0,3160.62,2829.79,,0.0030455755,0.0286846142,1.0471477509,0.9984608805
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A16,8,,3160.62,2938.83,,4.75638e-05,0.0036870856,0.1057304442,0.9999758064
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,3160.62,2936.42,,6.10717e-05,0.0038409915,0.132846266,0.9999690463
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A16,4,,3160.62,2942.63,,0.0156909227,0.0597173795,1.7190151215,0.991968206
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.conv1,Conv2d,"(1280, 1280, 3, 3)",14746880,W4A8,4,8.0,3160.62,2930.63,,0.014943853,0.0595034175,1.6142205,0.9923507797
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A16,8,,3160.62,2840.78,,6.889e-07,0.0004011826,0.0144280791,0.99999965
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W8A8,8,8.0,3160.62,2840.35,,9.991e-07,0.0005828408,0.0148922205,0.9999994925
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W4A16,4,,3160.62,2822.97,,0.0002620151,0.0085598323,0.2503055334,0.9998679446
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.time_emb_proj,Linear,"(1280, 1280)",1639680,W4A8,4,8.0,3160.62,2833.94,,0.0002653139,0.008562604,0.2565093935,0.999866336
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A16,8,,3160.62,2892.97,,1.54708e-05,0.0019854065,0.0618479848,0.9999921949
a crisp portrait of a golden retriever in studio lighting,123,mid_block.resnets.0.conv2,Conv2d,"(1280, 1280, 3, 3)",14746880,W8A8,8,8.0,3160.62,2821.42,,0.0002923291,0.0080582909,0.3081258833,0.9998510153
