sample_prompt,seed,layer,type,shape,params,mode,w_bits,a_bits,baseline_ms,layer_ms,peak_mem_MB,mse,mae,max_abs,cos
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2513.55,,1.33931e-05,0.002402141,0.0453286171,0.9999935966
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A16,4,,3160.62,2514.05,,0.0443976149,0.1199086979,5.5361084938,0.9780705943
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,Linear,"(320, 320)",102400,W4A8,4,8.0,3160.62,2466.39,,0.0440014414,0.1193787381,5.4971666336,0.9782625849
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A16,8,,3160.62,2507.47,,1.14361e-05,0.0021998549,0.0551166534,0.9999941955
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W8A8,8,8.0,3160.62,2483.61,,7.95925e-05,0.0046619778,0.1466087103,0.9999596539
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A16,4,,3160.62,2515.9,,0.0300662257,0.0814677626,2.5625576973,0.9846569234
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,Linear,"(320, 320)",102720,W4A8,4,8.0,3160.62,2544.4,,0.0343966484,0.0875170156,2.6621172428,0.9824406483
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A16,8,,3160.62,2559.36,,5.0239e-06,0.0011133228,0.042725563,0.9999974422
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W8A8,8,8.0,3160.62,2546.89,,4.5003e-06,0.0008592362,0.0543279648,0.9999977256
a crisp portrait of a golden retriever in studio lighting,123,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_q,Linear,"(320, 320)",102400,W4A16,4,,3160.62,2557.0,,0.0074823936,0.0485621057,1.5820479393,0.9962078514
